filename,rel_path,abs_path,title,subtitle,author,publisher,language,confidence,is_book_cover,notes,ok,error,model
" EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg"," EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg","D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg",EL MERCADO AGREDIDO,La antieconomía de la mafia institucionalizada,SYDNEY D'AGVILO,INWARE PRESS,es,0.9,True,,True,,gpt-4o-mini
 EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg, EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,Mafiæstado,EL MODUS OPERANDI DEL ESTADO ORGANIZADO,SYDNEY D'AGVILO,INTERVALIC PRESS,es,0.9,True,"El título y autor son claros, pero el subtítulo es largo.",True,,gpt-4o-mini
 La singularidad está más cerca_.jpg, La singularidad está más cerca_.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ La singularidad está más cerca_.jpg,La singularidad está más cerca,Cuando nos fusionamos con la IA,Ray Kurzweil,Deusto,es,0.9,True,,True,,gpt-4o-mini
"Democracia, Justicia y Socialismo.jpg"," Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg","D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg","DEMOCRACIA, JUSTICIA Y SOCIALISMO",Tercera edición,Friedrich A. Hayek,Unión Editorial,es,0.9,True,,True,,gpt-4o-mini
Ensayos de Teoría Monetaria.jpg, Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg,Ensayos de teoría monetaria I,,F.A. Hayek,Unión Editorial,es,0.9,True,,True,,gpt-4o-mini
Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg, Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,Hayek,Su contribución al pensamiento político y económico de nuestro tiempo,Eamonn Butler,,es,0.9,True,,True,,gpt-4o-mini
Las Vicisitudes del Liberalismo.jpg, Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg,LAS VICISITUDES DEL LIBERALISMO,Ensayos sobre Economía Austriaca y el ideal de libertad,F.A. HAYEK,Unión Editorial,es,1.0,True,,True,,gpt-4o-mini
Socialismo y Guerra - Hayek.jpg, Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg,SOCIALISMO Y GUERRA,"Ensayos, Documentos, Reseñas",F.A. HAYEK,Unión Editorial,es,1.0,True,,True,,gpt-4o-mini
_Tráfico y Consumo de Drogas.jpg, Unión Editorial\_Tráfico y Consumo de Drogas.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Tráfico y Consumo de Drogas.jpg,TRÁFICO Y CONSUMO DE DROGAS,Consecuencias de su control por el Gobierno,Ronald Hamowy (ed.),Unión Editorial,es,0.9,True,,True,,gpt-4o-mini
Adiós al Estado-Nación.jpg, Unión Editorial\Adiós al Estado-Nación.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Adiós al Estado-Nación.jpg,ADIOS AL ESTADO-NACIÓN,UNA PERSPECTIVA LIBERTARIA DE LA GOBERNANZA POLÍTICA,JUAN PINA,Unión Editorial,es,0.9,True,,True,,gpt-4o-mini
